year	imdbId	title	originalTitle	genre1	genre2	genre3	boxOffice	rank	category	winner
2017	2543164	Premier contact	Arrival	Drama	Mystery	Sci-Fi	103562523	30	Best Cinematography	false
2017	490215	Silence	Silence	Adventure	Drama	History	7291566	152	Best Cinematography	false
2017	3040964	Le Livre de la jungle	The Jungle Book	Adventure	Drama	Family	374921156	5	Best Visual Effects	true
2017	1860357	Deepwater	Deepwater Horizon	Action	Drama	History	63123495	54	Best Visual Effects	false
2017	1211837	Doctor Strange	Doctor Strange	Action	Adventure	Fantasy	239621177	13	Best Visual Effects	false
2017	4302938	Kubo et l'armure magique	Kubo and the Two Strings	Animation	Action	Adventure	49463780	69	Best Visual Effects	false
2017	3748528	Rogue One: A Star Wars story	Rogue One	Action	Adventure	Sci-Fi	548142643	1	Best Visual Effects	false
2016	1895587	Spotlight	Spotlight	Crime	Drama	History	47308564	59	Best Picture	true
2016	2381111	Brooklyn	Brooklyn	Drama	Romance		40233411	67	Best Picture	false
2016	3682448	Le pont des espions	Bridge of Spies	Drama	History	Thriller	75929441	39	Best Picture	false
2016	1392190	Mad Max: Fury Road	Mad Max: Fury Road	Action	Adventure	Sci-Fi	161318171	21	Best Picture	false
2016	3170832	Room	Room	Drama	Thriller		15411557	104	Best Picture	false
2016	3659388	Seul sur Mars	The Martian	Adventure	Drama	Sci-Fi	239855346	8	Best Picture	false
2016	1596363	The Big Short: Le casse du siècle	The Big Short	Biography	Comedy	Drama	73772863	41	Best Picture	false
2016	1663202	The Revenant	The Revenant	Action	Adventure	Biography	192819788	13	Best Picture	false
2016	1663202	The Revenant	The Revenant	Action	Adventure	Biography	192819788	13	Best Directing	true
2016	1596363	The Big Short: Le casse du siècle	The Big Short: Le casse du siècle	Biography	Comedy	Drama	73772863	41	Best Directing	false
2016	1392190	Mad Max: Fury Road	Mad Max: Fury Road	Action	Adventure	Sci-Fi	161318171	21	Best Directing	false
2016	3170832	Room	Room	Drama	Thriller		15411557	104	Best Directing	false
2016	1895587	Spotlight	Spotlight	Crime	Drama	History	47308564	59	Best Directing	false
2016	1895587	Spotlight	Spotlight	Crime	Drama	History	47308564	59	Best Original Screenplay	true
2016	470752	Ex Machina	Ex Machina	Drama	Mystery	Sci-Fi	26715105	105	Best Original Screenplay	false
2016	3682448	Le pont des espions	Bridge of Spies	Drama	History	Thriller	75929441	39	Best Original Screenplay	false
2016	1398426	N.W.A: Straight Outta Compton	Straight Outta Compton	Biography	Drama	History	169257674	19	Best Original Screenplay	false
2016	2096673	Vice-versa	Inside Out	Animation	Adventure	Comedy	374284796	4	Best Original Screenplay	false
